Biola,Alabi,Venture Capital | Non-Executive Director |Angel Investor| Business Strategy Advisor|,,,2025-02-26T16:07:02.101483
Leon,Szeli,Product @ Meta | Presize (acq. by Meta) Founding CEO | IC @ CDTM Venture Fund,,,2025-02-26T16:07:02.132442
Zachariah,George,Managing Partner @Launch Africa Ventures; Leading African Tech Angel Investor; Chief Investment Officer @Startupbootcamp Africa; Former Wall Street Investment Banker; Stanford and I.I.T. alum; Harambean; Musician; Dad,,,2025-02-26T16:07:02.164218
Dan,Knox,Co-Founder & COO at Science Exchange | Angel Investor,,,2025-02-26T16:07:02.198934
Cristina,Cordova,Chief Operating Officer at Linear,,,2025-02-26T16:07:02.368887
LinkedIn,Member,Co-founder/Partner/Philanthropist/(Angel Investor),,,2025-02-26T16:07:02.410738
Satish,Shetty,CEO at Codeproof® | LinkedIn Top Voice 🏆 | Cybersecurity Expert | Angel Investor | Formerly at McAfee & Microsoft | Advanced Yoga Practitioner | Coder | Product Builder | AI Enthusiast | Hiring Now,,,2025-02-26T16:07:02.453056
Ashok,Ranadive,"CEO & Co-Founder @ CarbonMinus Entrepreneur & Investor | Indian Navy, Google, CasperLabs (Web 3) | Global Experience across sectors",,,2025-02-26T16:07:02.493539
Stanislaus,MARTINS,"Tech & Marketing Leader. MD, Aleph West Africa, reps. Meta, Tiktok, X, Snapchat. | President ADMARP | CMO | Fellow, CIM UK | Cloud Architect & Security Certified Filmmaker",,,2025-02-26T16:07:02.532480
Paolo,N.,Entrepreneur & Angel Investor | Ex-BCG | Stanford B.S.,,,2025-02-26T16:07:02.570536
Andrew,Berberick,Angel Investor / Advisor,,,2025-02-26T16:07:02.653763
Anthony,Roma,Angel Investor at Launchpad Venture Group,,,2025-02-26T16:07:02.735997
Sergio,Monsalve,"Seed stage venture capital investor in future of work, marketplaces, SaaS, and AI",,,2025-02-26T16:07:02.772340
Carl,Johan Rising,"Burger expert, building Data & Analytics teams, angel investor, and occasional advisor",,,2025-02-26T16:07:02.804800
Radhika,Ghai,Founder & CEO at kindlife.in I Co-Founder at ShopClues I Angel Investor,,,2025-02-26T16:07:02.837411
Gianfranco,Filice,"Venture Investor at the ""Scary-Early"" Stage | Stanford",,,2025-02-26T16:07:02.877534
Maika,Isogawa,Founder and CEO at Webacy | Forbes 30 Under 30 | Angel Investor | Former Cirque Du Soleil acrobat,,,2025-02-26T16:07:02.910200
Francisco,Serra-Martins,Co-founder at Terminal Autonomy | Chair at Dove Air 🕊️ Forbes 30 Under 30 | Angel investor,,,2025-02-26T16:07:02.941240
Alfonso,Rodrigo,Angel Investor & Charitable Giver,,,2025-02-26T16:07:02.969951
Subha,Rajana,"Impact Investor, Mentor and Advisor",,,2025-02-26T16:07:02.999484
Augustin,Ku,Angel Investor,,,2025-02-26T16:07:03.035031
Max,Kilberg,Investor @ Village Global,,,2025-02-26T16:07:03.071520
Aydin,Ersöz,"Entrepreneur, Mentor and Angel Investor",,,2025-02-26T16:07:03.105360
