First Name,Last Name,Title,Description,Employer,Url,Timestamp
Biola,Alabi,General Partner,Venture Capital | Non-Executive Director |Angel Investor| Business Strategy Advisor|,acasia,https://www.linkedin.com/in/biola-alabi,2025-03-03T23:57:24.347247
Leon,Szeli,Investment Committee,Product @ Meta | Presize (acq. by Meta) Founding CEO | IC @ CDTM Venture Fund,Meta,https://www.linkedin.com/in/leonszeli,2025-03-03T23:57:24.352909
Jon,Saft,Angel Investor,Angel Investor,,https://www.linkedin.com/in/jon-saft-282b1916b,2025-03-03T23:57:24.361954
Melissa,C.,Growth Advisor,Head of Growth @ EvenUp | Growth Advisor | Angel Investor,EvenUp,https://www.linkedin.com/in/melissachuang,2025-03-03T23:57:24.368736
Cristina,Cordova,Chief Operating Officer,Chief Operating Officer at Linear,Linear,https://www.linkedin.com/in/cristinajcordova,2025-03-03T23:57:24.374495
Paolo,N.,"Angel, Pre-Seed & Seed Investor",Entrepreneur & Angel Investor | Ex-BCG | Stanford B.S.,wohnvoll AG,https://www.linkedin.com/in/nattenmueller,2025-03-03T23:57:24.380652
Ashok,Ranadive,Top skills,"CEO & Co-Founder @ CarbonMinus Entrepreneur & Investor | Indian Navy, Google, CasperLabs (Web 3) | Global Experience across sectors",CarbonMinus,https://www.linkedin.com/in/ashoksranadive,2025-03-03T23:57:24.386283
Nikolay,Laptev,AI Research Scientist,Angel investor,Meta,https://www.linkedin.com/in/nikolay-laptev-6616123,2025-03-03T23:57:24.394050
Leonel,Meneses,Event Planner,"Enthusiastic about people, technology and the universe. Looking for an Angel investor asap.",White Lion Door,https://www.linkedin.com/in/leonel-meneses-4700152b,2025-03-03T23:57:24.400375
Anthony,Roma,Angel Investor,Angel Investor at Launchpad Venture Group,Jul 2019 - Present,https://www.linkedin.com/in/anthonyrroma,2025-03-03T23:57:24.405878
Ali,Jamal,Founding Partner,"Founding Partner @ First Check Ventures / Growth and Product Executive / Angel Investor, Startup Advisor, International Expansion Expert",First Check Ventures,https://www.linkedin.com/in/mralijamal,2025-03-03T23:57:24.412306
Stanislaus,MARTINS,Top skills,"Tech & Marketing Leader. MD, Aleph West Africa, reps. Meta, Tiktok, X, Snapchat. | President ADMARP | CMO | Fellow, CIM UK | Cloud Architect & Security Certified Filmmaker",Jan 2024 - Present,https://www.linkedin.com/in/olusegunmartins,2025-03-03T23:57:24.417886
Sergio,Monsalve,Founding Partner,"Seed stage venture capital investor in future of work, marketplaces, SaaS, and AI",Roble Ventures,https://www.linkedin.com/in/sergiomonsalve,2025-03-03T23:57:24.423724
